"interaction_id","customer_id","lead_id","interaction_dt","channel","subject","details","listing_id","outcome"
1,185,61,"2025-02-09 08:11:05.005704","showing","Sort drug like technology.","Official senior animal ready strong. Live clear ground fast middle. Me game inside whose test quite.
Serve buy loss everything run page child. Since throughout black speak attorney outside. Follow thing at school. Story test today toward blood.
Image also recent house number. Group best debate significant edge.
Finish design apply drug. Our miss say simple perform practice investment.",165,"positive"
2,92,300,"2025-01-03 06:15:52.690948","showing","Meet at deal white like various.","Long carry long. Religious window relationship Congress car. Position same war behind.
They style director speak in treatment continue. Its final add through between. Face collection set need table. Protect property church evidence.
Recently film in. Brother save international assume. Indicate ever partner office billion manager.",19,"positive"
3,196,155,"2025-04-20 03:05:22.503598","meeting","Property start audience poor.","Floor environment see order compare plant. Drop him high on. Outside simple now do Mr behavior.
Strong person my senior. Quality structure soldier situation figure exactly piece chance.
Interesting concern seat establish course south.
Page weight either line bill whatever money. Total effort also itself space speech. Expect road computer want.",73,"follow_up_needed"
4,137,339,"2025-10-04 09:40:18.396889","email","Eat interview toward.","Force follow benefit technology if. Else buy near. Above seven sometimes future carry.
Defense ever expect role population project might. Involve open particularly election administration red. Record talk against tell talk once be.
Key bank ago serve sometimes end week respond. Bill hot stop industry road a full.",41,"neutral"
5,37,280,"2024-12-06 09:21:35.56219","text","Sit impact religious social director gas.","Station see enough concern.
Authority story Mr cold former knowledge. Where such form woman radio. Much the yourself into common.
Method smile pick set economic. Of serve imagine nice appear. Cultural mention determine result be show.
Near help four whom particular decade. Poor mean hard trade tough.",163,"negative"
6,37,NULL,"2025-01-07 15:29:17.989289","call","Purpose character develop keep.","Live success total large. Study though feeling term leave. Community including career each hotel Mrs.
Pass travel trip painting sport enter many.
Evening expert dream expect maybe free onto summer. Seek skin there thank while six live. Information little agent the against term instead.
Final knowledge current because. Senior short prepare debate perform around. Poor another surface.",143,"positive"
7,22,306,"2025-02-27 11:48:35.116063","text","Pressure institution early west trial ten.","Involve all raise trip several technology. Employee ahead yourself.
Art early film writer. Station back outside she maybe option.
Year beautiful big thought maybe see. Skin everybody interview find fill large type. Poor possible memory protect exactly left on.
Natural chair pass science Republican hard. Within only admit politics attack responsibility. Reality about Congress region many.",141,"neutral"
8,218,177,"2024-12-12 02:02:29.549636","showing","Film test degree opportunity bed law scientist.","End federal few campaign. Force energy billion us second. Trouble difficult mean population.
Mr security record teacher. Financial term market few data wide. Baby purpose across green hear environment.
Movement bad decide perform money Mrs. Really major own gas. Southern around officer field though soldier away color.",166,"neutral"
9,50,114,"2024-12-24 01:33:03.224597","call","Term country camera parent staff.","Bill part have leg. Within suggest subject save big.
Fire line cover before beautiful rich because. Base third ground cultural approach.
Development couple speak father last mouth. Throw pattern thousand imagine.
Field should floor image style it see. For though build next wind. Opportunity center voice tax our game area fill. Various true sound age.",65,"neutral"
10,218,291,"2025-06-02 04:41:53.085158","showing","Charge base specific green.","Practice herself peace single. Air cover even of. Second action notice cause.
Can car physical any cut certainly another. Tree environment fund management can source news. Certain glass far control.
Quality memory understand politics religious challenge.
Human south analysis need community very consider. Industry grow feel. Enjoy west human woman whom among often. That play will once form.",NULL,"follow_up_needed"
11,65,38,"2025-02-25 02:44:03.841619","call","Hope where indicate campaign until.","Those yeah son. New across evidence store everyone. Total bag officer address meeting debate building. Task minute something she role.
Week now final operation. Employee speak room whatever. Film campaign dream grow behavior.
Democrat argue north rock call role management. Eight member military spring more show strong. Here produce or coach similar vote.",18,"neutral"
12,92,250,"2025-08-23 00:32:15.059088","email","Machine important manager adult we everything.","Look especially exactly for offer. Chair discuss player ball local today. Outside city me performance ever remain.
Whom ask player wife. Range work choose kitchen set stuff.
Peace interesting free environmental image skin author group. Financial born idea morning interview very.
Not deal say.
Strong how court also. Offer present choice two certain modern.",NULL,"neutral"
13,82,318,"2025-03-19 21:20:30.664494","meeting","Author take that.","Hear thing human would magazine. For evening thing generation one throughout. Past join talk.
Many answer four deal. Perhaps as out check most. Impact school understand child may scene.
These we wide reveal. News team purpose law themselves.
Become city consumer employee. He local mention eye house knowledge participant strategy. Store bank sit none now beyond measure.",50,"follow_up_needed"
14,40,338,"2025-05-10 00:13:16.471931","showing","Go sister old already affect for.","Possible remain police fill worker. Mr price big teacher song company. Rise stop enter partner. Main water really.
Generation growth less by. Professional body wear.
Lawyer director explain which drive author thus. Reason low common wall life.
Husband billion garden possible rule maintain. Hour forget possible life. Professor charge team movie whom glass adult simple.",150,"no_response"
15,44,162,"2025-11-29 11:46:14.941097","call","Plant benefit role manage operation result.","Buy glass floor future among. Material exist research I but.
Part home affect least past.
Serious just along.
Of position off major it our want. Finish better tough choose see half. Professor side type interest I.
Your so main drive these somebody. Organization animal around campaign move Democrat single.
Song star send partner avoid. Another life tax close play.",NULL,"negative"
16,165,114,"2025-04-21 16:40:50.565326","meeting","Message window garden.","To likely option enough sing. Center media shake hospital. Billion special public whatever someone coach enough price.
Source bar board majority. Nothing without successful special tend hour serve. Later enough pick help head Democrat.
Exactly under body best significant mother. Be high late memory adult full. Deal stay poor beyond.",NULL,"negative"
17,85,NULL,"2025-10-29 04:46:53.951113","meeting","Crime meet there.","Light lot run action instead. Itself will down let certain page able. Pressure ready assume indeed when material.
Nation suffer house any feel.
Sport develop difficult still class suddenly. Somebody either investment fear open bar. Follow town sell.
Hit treatment somebody. Almost north report main administration fear from. Relate other radio but. Scene health off could.",188,"follow_up_needed"
18,45,157,"2025-01-10 14:45:14.195974","other","Same series nearly member happen everybody action.","Current year nation series still. Radio perform bar impact large. Surface lose full effect off sign. Business then same fight traditional share.
Each beautiful form message play religious not. Use fund serve.
Beyond upon bank magazine agree allow improve. Traditional throw field can travel recognize above. White effect speak set. New fly dream history else series law strategy.",28,"no_response"
19,36,144,"2025-05-14 02:31:12.601239","showing","To enough than break a myself to.","Field their keep soon such must yard hit.
Class anything organization support through. Stage responsibility federal local story black. Machine year line.
Gun purpose go game change north lay. Hold office fast full.
Oil participant election rate more.
Activity its rich rock consider tend. Attack mind use site live person. Third three keep hear American pressure.",NULL,"neutral"
20,5,321,"2025-04-27 22:00:10.797679","showing","Explain clearly cover walk.","Skin democratic operation. Edge here skin sport threat.
World else difficult true human gas candidate. Join they follow cell figure carry. Drug resource any size technology enter.
From mother sister future blood which place. Situation eight gun white toward morning according. Window improve year wife half.
News wife interest morning whether name agree.",20,"positive"
21,152,NULL,"2025-01-03 06:59:12.181203","email","Nice who two week simply product.","Not since city those market step record. Soon south note something community. Listen project hot feel.
Doctor set my. According above food reduce condition maintain full. Change again race room.
Rich major father water.
Every marriage case ten attention than. Image capital letter practice adult.
Commercial race number education color anything. Area movement short factor myself voice.",197,"positive"
22,139,279,"2025-11-22 10:52:18.059418","meeting","Director husband away score.","Matter between plant according half reveal. It participant suggest low car pay go. Candidate budget none near result call dinner.
Last about environmental positive culture live future. Order billion movement visit.
Specific back success soon position bar. Close affect skin free view few teacher yet. Trip federal specific step old.",NULL,"neutral"
23,151,115,"2025-09-14 15:13:52.951204","other","Commercial seem father play culture third teacher.","Million close window heavy live front image. Development million put amount church. Another south establish move affect father fall. Ten which phone return nothing act assume recognize.
Long camera these if reason. Call energy child almost. Site discuss other be whatever type.
Treatment quickly chance drop. Sell continue consider financial. Else whether foreign occur. These plant miss.",NULL,"negative"
24,94,257,"2025-08-10 14:54:32.908625","showing","Something bar good tell after collection issue.","Let single idea action rest. Painting administration also will.
Feel law attack subject find certainly. Major success relationship fish probably appear TV.
By people out right seek. Kitchen hair tell watch different cultural.
Hundred affect floor deep sing operation consumer. Company light really free cup still.",102,"positive"
25,132,315,"2024-12-08 05:11:17.913274","email","Much course standard church drop get food.","Answer eat car benefit agreement remember. Water food teacher approach onto whom.
Charge time stand push watch.
Author order choose spend task. Fly member spend walk. Away before economic with wind generation again.
Particularly effect seven attention require. Body reality teach finish many building use.
Community method power wonder important. Style issue seat. Suddenly avoid prove movie.",194,"follow_up_needed"
26,169,290,"2025-02-07 15:39:54.396045","email","Realize institution tree measure seat.","Body bad expect. Run support run outside magazine message. Newspaper Mrs debate exactly wind hospital boy. Never box whom list movie.
Month rate usually us. Year physical produce. Free hundred news serve herself compare.
Look choose major.
Both protect ten language place leader goal.
Letter development right. Where develop shoulder.",NULL,"follow_up_needed"
27,125,NULL,"2025-03-21 11:07:16.056988","email","Animal protect somebody start debate field.","Any personal keep open chair rest care. Strong get former social drive like live.
Quality between manager. Loss option claim indeed he natural pull.
Century professor catch heart.
Fly probably you fast yeah medical. Program only nearly.
Suggest husband leader minute long finally best. Actually sometimes sign eat detail.
Air bag development. Past peace difficult adult.",195,"positive"
28,133,120,"2025-01-05 18:07:15.828426","text","Sometimes church front laugh force identify above camera.","Difference west although him.
Table wish bill growth process million say. Bill might pick sign medical. Front include issue.
Sure design camera money. Side magazine pass on high. Indicate for list particularly stop.
Field address civil with really. Economy name hotel right.
Doctor baby happen difficult available structure body. All check quickly piece speech turn small.",53,"follow_up_needed"
29,11,233,"2025-01-03 08:47:43.619405","other","Middle book tax talk.","Act work TV recently discuss. Player knowledge onto able find although.
Ability seat society southern total law. Produce me money attorney cup. Speak government treat even listen.
Foreign with outside so lawyer environment development. Enter peace oil TV moment about wall.
Blood director security your eye control picture white. Above history difference interview.",NULL,"negative"
30,214,267,"2024-12-08 02:22:44.498926","other","Kid week hundred outside theory.","Staff opportunity meeting might level together east space. Write TV lay. About author main what technology president finish.
Culture dark wrong already month book those kind. Region institution appear already pattern color behavior.
Beat will ground support institution. Dinner do product field north.",71,"negative"
31,97,292,"2025-04-06 09:50:55.782792","text","Response whatever party positive lead billion.","Which than shake reason choice. Manager reveal upon cultural second nice give. Heavy form product structure check look speech.
Professional end back understand drop office social. True hospital visit involve half next big. Station leg by thing building.
Agency recently onto partner various he. Hotel husband standard movement other.
Voice production pick foreign.",168,"no_response"
32,58,40,"2025-07-25 03:38:20.196477","showing","Agency under hope approach answer bag.","Bar force available audience. Least no skin whose section phone bank way.
Another science mention. Most field will strategy person.
Long cultural usually available enough energy. Management threat without we. Physical include too guy first.
Paper call author yard. Carry cause improve seek money worker state. Lose as picture window.",97,"follow_up_needed"
33,155,177,"2025-03-10 08:34:52.998968","call","Challenge sit project require safe.","Cause tonight chance thought source source. Company thousand drive on.
Nothing suffer close cost continue past seven election. Everything which soon section investment region my. Both will break finally wife determine international. Painting mind fly.
Be free reflect order process reason side. Recognize cold loss look particular commercial. Officer read administration role west west.",124,"no_response"
51,60,69,"2025-03-02 17:46:56.887145","call","Have condition both find.","Through authority much brother film true. There away might coach security.
Game remember especially will travel compare.
Wide here send understand wall wife yard. Later write southern cup theory quality place. Exactly full note push small agreement.
Surface behavior western. Charge simple what why.",197,"negative"
34,20,NULL,"2025-07-14 11:30:57.876516","showing","Week life dinner lay true number own.","System firm get nor poor certainly rest. Radio available look describe hot. Activity report international which hotel president television.
Civil way factor sure. Debate someone myself gun what.
Record official coach education point cause letter.
Always line respond modern. Commercial kid respond word.
Give contain line according pay suddenly nearly. Name effect pull join.",59,"negative"
35,184,96,"2025-06-05 18:41:17.206989","call","Field Mrs eight can investment common real actually.","You care drive. Child pressure discuss. Prove raise theory policy culture.
Southern off wonder should center what. Ten born indeed. Determine instead tonight international history newspaper.
Eat teach effect. Travel ask affect between hospital.
Above rate explain small former agree forget. Majority federal oil include. Middle only fast budget. Fish adult particular.",155,"neutral"
36,124,170,"2025-04-07 02:08:02.595035","other","Science west surface fill yet.","Second put other another blood break. Simply stage floor rate strong leg.
Mrs I determine work everybody onto wide. Effort white sort. Through medical religious or brother myself attack.
Concern yard detail whatever. Where should produce hair these and.
Image fly many parent system blood could. Writer something difference remember serve life will. Them foot test bit young a.",NULL,"follow_up_needed"
37,6,303,"2025-07-20 11:11:54.965577","email","Only return according write many hospital black.","Room occur sense look this. Call black trade foreign hour any situation support.
Quality security think quality think certainly half. Team mention mention bit significant election dog.
How drug Republican to across about down. Expect old particularly situation road statement site fine. Thank finally book white later.",106,"positive"
38,132,304,"2025-11-18 04:20:25.407437","call","Media fire medical development public form.","Her moment you design. Quality major western decision you. South style letter hold.
Price politics able meet design on. Course resource may executive.
Impact onto future west four. Road difference share.
Fire city down reason represent speak. Performance choose organization approach cause.
Environmental maintain factor society form. One report finish.",162,"no_response"
39,133,86,"2025-07-20 04:36:18.493013","meeting","Quality sense add industry ahead same billion.","Thank trade must door. Ago hit exist newspaper good provide view he.
Oil anything wide defense four according. Maintain much soon find soldier discussion carry. Tax court rich article question in.
Concern score each not result work strong.
Admit water contain artist know we put. Bit significant also poor trouble agency. What question common argue.",47,"no_response"
40,187,NULL,"2025-01-27 14:39:29.469955","other","Among argue nice this memory present.","Consider single firm per food. Movement knowledge coach natural certainly hundred character. Store section ago bad you instead officer.
Else region hand often case.
Impact suddenly indicate realize affect interview store. Key reason either staff garden.
Design nearly reason light natural movie add. Special recognize evening. Long leader test yes beat toward.",185,"negative"
41,121,NULL,"2025-04-01 13:18:36.234883","meeting","Myself action cut ready white husband.","Wide officer happy ask letter model today. Set you card range.
Public establish stuff social be page. News energy after key us budget ability method.
The bill color look power right area. Around difficult interesting nature health. Others laugh charge treatment include prove.
Before unit number a. Anything blood new gun risk activity answer. Professor north clear several phone reflect.",156,"neutral"
42,150,211,"2025-07-13 03:05:48.683759","email","Protect close example identify both.","Factor wait skin surface behavior together. Draw visit work should than.
Score sign rather language move sea. Short above morning gas short space. Feeling price son minute past hospital meeting.
Open alone around what someone. Husband exist and green eight former north.
Join consumer hear during certainly kid option. Top bed while treat. Head realize audience move improve interest memory.",204,"no_response"
43,88,136,"2025-11-18 19:03:35.034211","meeting","Production care friend forward national clearly off.","Ten responsibility cell ask serve example will. Participant music land hit far. Easy lay billion return try radio would they.
Involve leader material movement speak. Song perform today interest ten stuff.
Million peace operation my leave like fall. Mention third serve whom dog above. Unit carry very yard worker indeed three about. While itself receive four yard write.",176,"no_response"
44,28,118,"2025-09-22 15:57:26.646063","call","Price friend education.","Whose bill along religious last under.
Apply student whether computer those. Attack including possible expect lead them industry.
Candidate baby myself add. Suggest newspaper major serve answer house back.
Performance member message heavy government for. Bag us close take quite.
Cause visit trip model music item. Treat firm weight.",34,"neutral"
45,156,259,"2025-01-30 12:18:51.420194","call","Music term least society senior cold second truth.","War mission woman camera kind their. Nation carry war reflect sing control century.
Word reveal change media tree large. Story join bag sea image. Dinner develop point get thank series what.
Drug three community west can sound stuff. Popular short argue former fund ground once. Article call left seat protect.
Nearly staff special type. Fine clear effort.",39,"neutral"
46,137,315,"2025-10-08 03:47:31.286147","showing","Growth on point ten.","Do hospital skill them herself act white. Method until enough provide material. Debate Republican perhaps audience ready.
Own good let ready ahead process institution. Dream past vote old.
Where instead all include player. Follow arrive can responsibility different western office ahead. Drop war material term. Century difference green near apply through.",201,"positive"
