"offer_id","customer_id","listing_id","agent_id","offer_price","offer_date","status","contingencies"
1,71,177,10,"1441298.09","2024-05-04","rejected","Address whether officer American off let."
2,53,49,2,"2279452.25","2024-08-29","accepted","Worker only difficult hair pretty manage audience red both team."
3,175,102,9,"2808699.08","2025-11-06","rejected","Deal hope imagine when admit recent bad drug clear attorney couple."
4,114,70,2,"2548409.82","2025-11-17","accepted","Market interview executive director world my in without culture agreement right."
5,6,147,15,"1934155.97","2025-11-29","expired","Analysis certainly rest gas money across carry."
6,106,29,21,"715367.90","2025-09-21","rejected","Form win between baby issue rest same once authority assume fine east help."
7,179,194,36,"5294.81","2025-07-05","rejected","Later create sort race enough her understand lot usually human campaign debate."
8,146,155,20,"1567871.14","2025-11-26","counter","Decade address too whatever some fact it wife discussion professional admit million."
9,59,8,19,"4457740.06","2024-09-03","submitted","Air enter same front give clearly early plant much look effect."
10,73,91,11,"2138412.19","2024-08-08","expired","Entire tax and simply rather lay song possible enough memory memory according build."
11,183,108,12,"1408298.49","2025-10-28","counter","State travel agreement resource happen resource detail of process risk need."
12,178,34,NULL,"2930449.57","2025-01-04","counter","Later several interest across ahead serious edge look operation dream."
13,30,40,21,"1310877.08","2025-11-22","expired","Factor step moment pick three feel culture seem site method."
14,67,130,14,"1500438.97","2025-11-27","expired","Describe today discuss kitchen trip bag your hold me election."
15,171,205,23,"556810.26","2025-09-05","counter","Present sound never general rate reflect economy skin one have control."
16,139,66,NULL,"1717442.48","2025-10-24","expired","Expert according large for common practice of."
17,7,32,32,"778599.44","2025-05-18","counter","Get threat home minute space role."
18,82,71,35,"7913.46","2025-09-07","expired","Near evidence bar focus marriage employee."
19,181,211,19,"1633590.75","2025-10-01","expired","Put several who side response air husband create can toward such institution use."
20,205,205,29,"550480.66","2024-09-11","accepted","Traditional same point manage say front discussion lose himself hospital."
21,188,119,3,"1317581.54","2025-11-25","counter","Stuff agreement TV tend book put coach focus involve group ever."
22,30,113,26,"3060312.05","2025-04-22","expired","Tax fear enter report nation girl our in data city score walk."
23,115,137,21,"1305783.19","2025-08-09","submitted","Open around century detail body health industry window culture real meeting everybody."
24,50,104,15,"1128735.30","2025-06-19","accepted","Charge make whether can couple travel majority firm music."
25,22,155,29,"1442925.35","2025-06-28","submitted","Bill care of try pass seat wrong."
26,101,147,21,"2437648.57","2025-11-29","expired","Happy budget prove yeah kid strong himself break firm will model order."
27,15,8,NULL,"4231087.83","2025-01-09","accepted","Memory hour sit behavior section assume clearly discover resource significant wait."
28,184,72,24,"1354444.00","2025-11-28","rejected","Study its require animal mention total."
29,73,147,20,"2051758.37","2025-11-29","rejected","Today my note example policy hear figure surface upon meeting fire use face."
30,23,116,29,"9418.84","2025-11-20","rejected","Particularly gun economy pattern mean home life fund later."
31,74,37,28,"3016208.58","2025-07-10","rejected","Important night away wide yourself defense option candidate fill beautiful technology somebody."
32,151,5,10,"1734805.16","2025-08-21","counter","Major could community house field appear benefit player."
33,223,149,22,"5947.97","2025-05-13","submitted","Number art whole agency father someone do particular board west behavior live property."
34,152,157,6,"1874096.47","2025-11-21","submitted","Relate represent still clear war bad cold smile finish."
35,70,139,36,"1603364.09","2025-10-30","rejected","Language along offer heavy writer interview send charge yard pick size the."
36,194,20,NULL,"2845923.82","2025-01-13","counter","Education despite increase check participant choose yard."
37,98,143,32,"6694.67","2024-08-17","submitted","Type employee true thing upon inside many two key answer another."
38,78,50,20,"2171538.15","2025-09-04","rejected","Town window TV will these low wife do medical more risk work simple."
39,119,134,1,"3166732.26","2025-10-29","counter","Reach learn wish little side successful read west go."
40,164,180,31,"2483087.59","2025-11-25","submitted","Pay read responsibility line star ball nice soon trouble measure because."
41,74,149,32,"6612.79","2025-07-22","counter","More total catch own letter environment me."
42,196,165,5,"1380597.00","2025-11-04","expired","Hair bad teach would there seven act any affect tough religious attorney number."
