"neighborhood_id","neighborhood_name","city","state","zip_code","walkability_score"
1,"Dannyview","Port Roy","CT","74027",85
2,"New Sarahview","East Joshuaport","NJ","45042",68
3,"Adamberg","Jonestown","NY","12527",45
4,"South Robert","Ericport","NJ","95082",54
5,"Kimberlyshire","North Ericton","NJ","88839",84
6,"West Scottchester","Lawsonchester","NY","36305",59
7,"Port William","Russellport","CT","89396",77
8,"Roseport","East Randallton","NJ","01508",70
9,"West Sierra","Port Jonathan","CT","43508",73
10,"North Tylerchester","East Omar","NJ","92732",67
11,"New Angelica","Charleston","CT","57677",75
12,"South Samanthamouth","Berrychester","NJ","38448",62
13,"South Andrewmouth","Port Stacey","CT","60806",69
14,"Christopherville","South Brianna","NJ","69177",59
15,"South Monicamouth","West Kimberly","NJ","10512",54
16,"New Williamstad","Jessicaberg","NY","31469",86
17,"East Jonathanburgh","Port Katherine","NY","10377",60
